word,katakana,part_of_speech,conjugation_type,conjugated_form_example
の,ノ,助詞-格助詞,0,0
て,テ,助詞-接続助詞,0,0
は,ハ,助詞-係助詞,0,0
だ,ダ,助動詞,助動詞-ダ,連用形-一般
た,タ,助動詞,助動詞-タ,連体形-一般
に,ニ,助詞-格助詞,0,0
が,ガ,助詞-格助詞,0,0
を,ヲ,助詞-格助詞,0,0
と,ト,助詞-格助詞,0,0
する,スル,動詞-非自立可能,サ行変格,連用形-一般
も,モ,助詞-係助詞,0,0
で,デ,助詞-格助詞,0,0
いる,イル,動詞-非自立可能,上一段-ア行,連用形-一般
ます,マス,助動詞,助動詞-マス,終止形-一般
か,カ,助詞-副助詞,0,0
です,デス,助動詞,助動詞-デス,終止形-一般
ある,アル,動詞-非自立可能,五段-ラ行-一般,終止形-一般
いう,イウ,動詞-一般,五段-ワア行-イウ,終止形-一般
ない,ナイ,助動詞,助動詞-ナイ,終止形-一般
から,カラ,助詞-格助詞,0,0
ない,ナイ,形容詞-非自立可能,形容詞,連体形-一般
なる,ナル,動詞-非自立可能,五段-ラ行-一般,終止形-一般
お,オ,接頭辞,0,0
その,ソノ,連体詞,0,0
一,イチ,名詞-数詞,0,0
それ,ソレ,代名詞,0,0
よい,ヨイ,形容詞-非自立可能,形容詞,連体形-一般
人,ヒト,名詞-普通名詞-一般,0,0
何,ナニ,代名詞,0,0
来る,コイ,動詞-非自立可能,カ行変格,連用形-一般
もの,モノ,名詞-普通名詞-サ変可能,0,0
見る,ミル,動詞-非自立可能,上一段-マ行,終止形-一般
いく,イク,動詞-非自立可能,下一段-カ行,未然形-一般
よ,ヨ,助詞-終助詞,0,0
そう,ソウ,副詞,0,0
方,ホウ,名詞-普通名詞-一般,0,0
時,トキ,名詞-普通名詞-副詞可能,0,0
ね,ネ,助詞-終助詞,0,0
わたくし,ワタクシ,代名詞,0,0
できる,デキル,動詞-非自立可能,上一段-カ行,未然形-一般
さん,サン,接尾辞-名詞的-一般,0,0
二,ニ,名詞-数詞,0,0
や,ヤ,助詞-副助詞,0,0
どう,ドウ,副詞,0,0
この,コノ,連体詞,0,0
まで,マデ,助詞-副助詞,0,0
だけ,ダケ,助詞-副助詞,0,0
てる,テル,助動詞,下一段-タ行,終止形-一般
三,サン,名詞-数詞,0,0
中,チュウ,名詞-普通名詞-副詞可能,0,0
ところ,トコロ,名詞-普通名詞-副詞可能,0,0
たい,タイ,助動詞,助動詞-タイ,終止形-一般
わかる,ワカル,動詞-一般,五段-ラ行-一般,連体形-一般
自分,ジブン,名詞-普通名詞-一般,0,0
へ,ヘ,助詞-格助詞,0,0
これ,コレ,代名詞,0,0
など,ナド,助詞-副助詞,0,0
今,イマ,名詞-普通名詞-副詞可能,0,0
日,ヒ,名詞-普通名詞-一般,0,0
あと,アト,接尾辞-名詞的-副詞可能,0,0
やる,ヤル,動詞-非自立可能,五段-ラ行-一般,連用形-促音便
出る,デル,動詞-一般,下一段-ダ行,未然形-一般
十,ジュウ,名詞-数詞,0,0
二十,ニジュウ,名詞-数詞,0,0
三十,サンジュウ,名詞-数詞,0,0
前,マエ,名詞-普通名詞-副詞可能,0,0
聞く,キク,動詞-一般,五段-カ行-一般,連用形-イ音便
目,メ,接尾辞-名詞的-一般,0,0
たち,タチ,接尾辞-名詞的-一般,0,0
年,ネン,接尾辞-名詞的-助数詞,0,0
たり,タリ,助詞-副助詞,0,0
また,マタ,接続詞,0,0
五,ゴ,名詞-数詞,0,0
五十,ゴジュウ,名詞-数詞,0,0
下さる,クダサル,動詞-非自立可能,五段-ラ行-アル,命令形
知る,シル,動詞-一般,五段-ラ行-一般,連用形-促音便
入る,ハイル,動詞-一般,五段-ラ行-一般,連用形-促音便
より,ヨリ,助詞-格助詞,0,0
