スル,する
イル,いる
アル,ある
イウ,いう
ナイ,ない
ナル,なる
ソノ,その
ソレ,それ
ヨイ,よい
コイ,来る
モノ,もの
ミル,見る
イク,いく
ソウ,そう
ワタクシ,わたくし
デキル,できる
ドウ,どう
コノ,この
トコロ,ところ
ワカル,わかる
ジブン,自分
コレ,これ
ヤル,やる
デル,出る
ニジュウ,二十
サンジュウ,三十
キク,聞く
マタ,また
ゴジュウ,五十
クダサル,下さる
シル,知る
ハイル,入る
モツ,持つ
モウ,もう
ツカウ,使う
ウチ,うち
ヨンジュウ,四十
ウエ,うえ
アナタ,あなた
トル,とる
ダス,出す
オナジ,同じ
ジカン,時間
ドコ,どこ
ソコ,そこ
ヨク,よく
ミナ,みな
ダレ,だれ
イツ,いつ
ワタシ,わたし
マダ,まだ
オオイ,多い
ココ,ここ
コドモ,子ども
カケル,かける
ロクジュウ,六十
シカシ,しかし
オシエル,教える
イレル,入れる
ホントウ,本当
スコシ,少し
ハチジュウ,八十
チガウ,違う
ツクル,つくる
アゲル,あげる
フタリ,二人
ナナジュウ,七十
ワルイ,悪い
ニヒャク,二百
ゴヒャク,五百
サンビャク,三百
ヨンヒャク,四百
ロッピャク,六百
ナナヒャク,七百
ハッピャク,八百
カク,書く
アマリ,あまり
ソシテ,そして
ヒトリ,一人
シゴト,仕事
スグ,すぐ
コンナ,こんな
コトバ,言葉
カカル,かかる
カウ,買う
デンワ,電話
チョット,ちょっと
ナゼ,なぜ
ドンナ,どんな
スキ,好き
キュウジュウ,九十
キュウヒャク,九百
コロ,ころ
タカイ,高い
イミ,意味
シツモン,質問
ドノ,どの
タベル,食べる
モンダイ,問題
カイシャ,会社
キョウ,今日
イッショ,一緒
オオキイ,大きい
イチバン,一番
キル,切る
ハナス,話す
ドチラ,どちら
ノム,飲む
ホシイ,欲しい
ハヤイ,早い
カエル,帰る
センセイ,先生
ヘヤ,部屋
タツ,立つ
ケッコン,結婚
ナガイ,長い
イズレ,いずれ
ヨブ,呼ぶ
マツ,待つ
アウ,会う
アマイ,甘い
コチラ,こちら
トテモ,とても
ヒラク,開く
ニセン,二千
ゴセン,五千
サンゼン,三千
ヨンセン,四千
ハッセン,八千
ロクセン,六千
ナナセン,七千
キュウセン,九千
ナマエ,名前
ヨム,読む
ノル,乗る
イロイロ,いろいろ
シヌ,死ぬ
ツヨイ,強い
ハジメテ,初めて
スクナイ,少ない
イヤ,いや
アルク,歩く
